2013-02-23 13:25:02,2013-02-23 13:25:02,2013-02-23 13:25:02
-2.0,-45.0,45.0
-2.0,-45.0,45.0
-3.0,-44.0,46.0
-1.0,-44.0,47.0
-2.0,-45.0,47.0
-1.0,-44.0,46.0
-4.0,-45.0,47.0
-4.0,-44.0,47.0
1.0,-45.0,45.0
-5.0,-45.0,46.0
-1.0,-44.0,46.0
-3.0,-44.0,47.0
-2.0,-43.0,47.0
-5.0,-43.0,47.0
-5.0,-44.0,47.0
-5.0,-44.0,47.0
-5.0,-44.0,46.0
-3.0,-43.0,46.0
-5.0,-44.0,45.0
-4.0,-43.0,47.0
-5.0,-42.0,48.0
-5.0,-42.0,50.0
-3.0,-42.0,51.0
-5.0,-43.0,48.0
-5.0,-43.0,47.0
-2.0,-45.0,46.0
-3.0,-45.0,46.0
-6.0,-45.0,46.0
-5.0,-45.0,46.0
-2.0,-45.0,45.0
-2.0,-45.0,45.0
-2.0,-44.0,46.0
-3.0,-44.0,47.0
-4.0,-42.0,50.0
-4.0,-44.0,48.0
-1.0,-44.0,45.0
0.0,-44.0,45.0
-5.0,-44.0,46.0
-4.0,-44.0,48.0
-3.0,-43.0,47.0
-5.0,-43.0,47.0
-6.0,-42.0,50.0
-5.0,-42.0,49.0
-5.0,-43.0,46.0
-6.0,-43.0,46.0
-4.0,-42.0,47.0
-6.0,-42.0,48.0
-4.0,-42.0,50.0
-3.0,-42.0,49.0
-4.0,-42.0,49.0
-3.0,-44.0,48.0
-4.0,-43.0,47.0
-4.0,-45.0,45.0
-3.0,-45.0,45.0
-2.0,-45.0,45.0
-3.0,-45.0,46.0
-1.0,-44.0,45.0
-1.0,-45.0,44.0
-4.0,-44.0,47.0
-3.0,-44.0,48.0
2.0,-43.0,49.0
0.0,-45.0,48.0
-2.0,-44.0,47.0
-1.0,-45.0,45.0
-1.0,-45.0,44.0
0.0,-44.0,46.0
-3.0,-44.0,47.0
-4.0,-43.0,47.0
-3.0,-44.0,48.0
-2.0,-44.0,47.0
-4.0,-44.0,45.0
-3.0,-44.0,46.0
-3.0,-43.0,46.0
-2.0,-42.0,50.0
-3.0,-42.0,50.0
-2.0,-42.0,50.0
-6.0,-44.0,48.0
-5.0,-44.0,46.0
-2.0,-45.0,45.0
-4.0,-47.0,44.0
-2.0,-46.0,44.0
0.0,-46.0,44.0
0.0,-45.0,45.0
-1.0,-45.0,45.0
-3.0,-45.0,45.0
-1.0,-44.0,47.0
-1.0,-45.0,47.0
0.0,-44.0,47.0
-3.0,-46.0,46.0
0.0,-45.0,46.0
-1.0,-45.0,46.0
0.0,-44.0,44.0
-1.0,-41.0,48.0
-2.0,-45.0,50.0
-5.0,-46.0,47.0
-2.0,-45.0,42.0
-2.0,-45.0,42.0
-2.0,-45.0,44.0
-3.0,-45.0,45.0
-4.0,-43.0,50.0
-4.0,-44.0,49.0
-1.0,-43.0,50.0
-3.0,-44.0,48.0
-3.0,-45.0,46.0
-3.0,-45.0,44.0
-2.0,-45.0,43.0
0.0,-46.0,43.0
-2.0,-45.0,44.0
-1.0,-45.0,45.0
-1.0,-45.0,46.0
0.0,-45.0,46.0
-2.0,-45.0,46.0
0.0,-46.0,46.0
-3.0,-45.0,46.0
3.0,-45.0,46.0
-3.0,-45.0,45.0
-1.0,-43.0,47.0
-2.0,-44.0,47.0
-2.0,-43.0,48.0
-3.0,-43.0,48.0
-4.0,-43.0,49.0
-4.0,-44.0,47.0
-3.0,-43.0,46.0
-3.0,-44.0,46.0
-3.0,-43.0,47.0
-3.0,-42.0,49.0
-3.0,-43.0,49.0
-6.0,-43.0,49.0
-4.0,-43.0,48.0
-2.0,-44.0,47.0
-2.0,-45.0,45.0
-2.0,-45.0,46.0
-2.0,-45.0,45.0
-2.0,-45.0,45.0
0.0,-44.0,45.0
1.0,-45.0,45.0
0.0,-44.0,47.0
-1.0,-45.0,46.0
-3.0,-43.0,48.0
1.0,-44.0,47.0
0.0,-45.0,47.0
1.0,-43.0,46.0
-1.0,-44.0,46.0
-2.0,-44.0,46.0
-1.0,-44.0,46.0
-2.0,-44.0,46.0
-6.0,-43.0,47.0
-6.0,-42.0,50.0
-5.0,-42.0,51.0
-4.0,-43.0,47.0
-3.0,-43.0,47.0
-4.0,-43.0,47.0
-5.0,-42.0,47.0
-6.0,-41.0,49.0
-3.0,-41.0,49.0
-4.0,-39.0,45.0
-6.0,-42.0,55.0
-1.0,-43.0,46.0
-2.0,-43.0,44.0
-4.0,-43.0,50.0
1.0,-43.0,47.0
-7.0,-43.0,47.0
-5.0,-44.0,48.0
-1.0,-44.0,48.0
-2.0,-45.0,46.0
2.0,-42.0,48.0
3.0,-43.0,47.0
-1.0,-42.0,50.0
4.0,-45.0,45.0
1.0,-43.0,47.0
1.0,-42.0,47.0
1.0,-42.0,47.0
0.0,-40.0,50.0
1.0,-41.0,48.0
-3.0,-41.0,51.0
-1.0,-42.0,47.0
-4.0,-43.0,48.0
-2.0,-41.0,48.0
-3.0,-40.0,50.0
-2.0,-40.0,50.0
-4.0,-41.0,48.0
-2.0,-41.0,52.0
-3.0,-41.0,51.0
-4.0,-42.0,46.0
2.0,-42.0,48.0
-4.0,-43.0,50.0
1.0,-41.0,48.0
1.0,-41.0,49.0
-4.0,-40.0,48.0
-1.0,-40.0,50.0
-5.0,-41.0,51.0
-4.0,-40.0,51.0
-6.0,-41.0,49.0
-2.0,-39.0,50.0
-5.0,-41.0,50.0
-1.0,-39.0,49.0
-4.0,-39.0,49.0
-4.0,-40.0,51.0
-7.0,-38.0,51.0
-7.0,-38.0,51.0
-6.0,-39.0,49.0
-5.0,-41.0,48.0
-7.0,-39.0,49.0
-5.0,-38.0,51.0
-4.0,-39.0,49.0
-3.0,-38.0,50.0
-7.0,-40.0,54.0
-8.0,-38.0,53.0
-3.0,-41.0,49.0
-4.0,-41.0,51.0
-3.0,-40.0,48.0
-5.0,-41.0,51.0
-6.0,-42.0,51.0
-4.0,-40.0,50.0
-3.0,-40.0,50.0
-5.0,-40.0,51.0
-8.0,-40.0,51.0
-5.0,-40.0,50.0
-1.0,-41.0,49.0
-5.0,-40.0,48.0
-1.0,-40.0,49.0
-6.0,-40.0,50.0
-6.0,-39.0,50.0
-7.0,-41.0,50.0
-9.0,-39.0,53.0
-8.0,-37.0,52.0
-1.0,-41.0,45.0
-6.0,-39.0,48.0
-10.0,-38.0,52.0
-4.0,-40.0,51.0
-4.0,-40.0,51.0
-7.0,-39.0,53.0
-4.0,-40.0,51.0
-6.0,-40.0,52.0
-4.0,-39.0,51.0
-2.0,-41.0,48.0
-3.0,-42.0,48.0
0.0,-43.0,47.0
-2.0,-43.0,47.0
-1.0,-43.0,48.0
0.0,-43.0,48.0
2.0,-42.0,47.0
1.0,-42.0,45.0
-5.0,-41.0,52.0
-4.0,-42.0,51.0
-1.0,-42.0,48.0
1.0,-43.0,45.0
-1.0,-42.0,46.0
-3.0,-43.0,50.0
-3.0,-42.0,50.0
-1.0,-43.0,48.0
-4.0,-42.0,47.0
-3.0,-42.0,46.0
-3.0,-43.0,47.0
-3.0,-42.0,48.0
-2.0,-42.0,49.0
-3.0,-42.0,50.0
-3.0,-41.0,50.0
-4.0,-42.0,48.0
-6.0,-42.0,48.0
-2.0,-42.0,52.0
-2.0,-43.0,48.0
-3.0,-44.0,45.0
-2.0,-44.0,45.0
-1.0,-45.0,45.0
-2.0,-45.0,46.0
-1.0,-44.0,46.0
-1.0,-44.0,47.0
0.0,-44.0,46.0
0.0,-45.0,46.0
-3.0,-44.0,48.0
-2.0,-43.0,48.0
2.0,-44.0,47.0
0.0,-44.0,47.0
0.0,-43.0,46.0
-4.0,-43.0,48.0
0.0,-43.0,48.0
-2.0,-43.0,49.0
-3.0,-43.0,46.0
-4.0,-43.0,46.0
-5.0,-43.0,47.0
-3.0,-44.0,47.0
-2.0,-43.0,47.0
-2.0,-42.0,48.0
-4.0,-42.0,50.0
-4.0,-41.0,52.0
-4.0,-41.0,52.0
-3.0,-43.0,48.0
-2.0,-43.0,47.0
-1.0,-45.0,45.0
-1.0,-44.0,45.0
-2.0,-45.0,47.0
-2.0,-44.0,46.0
-1.0,-45.0,46.0
-1.0,-45.0,46.0
-1.0,-45.0,45.0
-3.0,-45.0,46.0
1.0,-44.0,46.0
-1.0,-44.0,48.0
3.0,-44.0,46.0
-1.0,-45.0,47.0
-2.0,-43.0,46.0
-1.0,-43.0,48.0
0.0,-42.0,48.0
-1.0,-43.0,49.0
-4.0,-43.0,49.0
-4.0,-43.0,48.0
-3.0,-44.0,46.0
-3.0,-44.0,46.0
-2.0,-43.0,46.0
-2.0,-42.0,47.0
-5.0,-42.0,50.0
-2.0,-42.0,49.0
-1.0,-42.0,49.0
-1.0,-43.0,48.0
-1.0,-44.0,48.0
-4.0,-45.0,46.0
-2.0,-44.0,46.0
-2.0,-45.0,43.0
-3.0,-45.0,45.0
1.0,-45.0,45.0
0.0,-45.0,45.0
-3.0,-45.0,47.0
-2.0,-45.0,46.0
1.0,-43.0,48.0
2.0,-45.0,47.0
-2.0,-43.0,46.0
-3.0,-44.0,47.0
-1.0,-43.0,47.0
1.0,-43.0,47.0
-3.0,-43.0,48.0
-4.0,-43.0,48.0
-3.0,-44.0,46.0
-4.0,-44.0,47.0
-1.0,-43.0,45.0
-2.0,-44.0,46.0
-4.0,-42.0,47.0
-2.0,-42.0,49.0
-3.0,-41.0,51.0
-3.0,-40.0,53.0
-2.0,-44.0,47.0
-4.0,-44.0,46.0
0.0,-45.0,44.0
-3.0,-46.0,44.0
-3.0,-46.0,45.0
-2.0,-45.0,45.0
-3.0,-46.0,46.0
0.0,-45.0,46.0
-3.0,-45.0,47.0
1.0,-44.0,47.0
3.0,-44.0,46.0
1.0,-44.0,46.0
-1.0,-44.0,47.0
-4.0,-45.0,45.0
-1.0,-44.0,45.0
-3.0,-43.0,47.0
-2.0,-43.0,47.0
-6.0,-42.0,50.0
-5.0,-42.0,52.0
-5.0,-42.0,48.0
-3.0,-43.0,47.0
-2.0,-43.0,46.0
-4.0,-43.0,47.0
-4.0,-42.0,49.0
-4.0,-42.0,49.0
-3.0,-43.0,49.0
-4.0,-43.0,48.0
-2.0,-43.0,47.0
-2.0,-44.0,47.0
-4.0,-45.0,45.0
-2.0,-44.0,46.0
-1.0,-45.0,45.0
-1.0,-45.0,44.0
-1.0,-44.0,46.0
0.0,-44.0,46.0
-4.0,-45.0,46.0
-1.0,-43.0,46.0
-1.0,-45.0,46.0
-1.0,-44.0,46.0
-2.0,-44.0,46.0
-4.0,-43.0,46.0
-4.0,-43.0,49.0
-4.0,-43.0,49.0
-4.0,-43.0,48.0
-6.0,-43.0,48.0
-5.0,-43.0,48.0
-4.0,-43.0,46.0
-3.0,-44.0,45.0
-6.0,-43.0,47.0
-5.0,-42.0,48.0
-5.0,-42.0,50.0
-3.0,-41.0,50.0
-3.0,-41.0,49.0
-3.0,-42.0,50.0
-1.0,-43.0,48.0
-2.0,-44.0,46.0
-2.0,-45.0,45.0
-5.0,-45.0,45.0
-3.0,-45.0,45.0
-2.0,-45.0,44.0
-3.0,-45.0,45.0
-2.0,-44.0,46.0
-3.0,-44.0,47.0
-2.0,-44.0,47.0
0.0,-44.0,47.0
-1.0,-44.0,47.0
-2.0,-43.0,46.0
-4.0,-43.0,47.0
-3.0,-44.0,47.0
-5.0,-43.0,48.0
-5.0,-43.0,49.0
-6.0,-43.0,48.0
-5.0,-43.0,47.0
-5.0,-43.0,46.0
-6.0,-44.0,47.0
-4.0,-43.0,47.0
-5.0,-42.0,48.0
-6.0,-42.0,49.0
-6.0,-41.0,50.0
-3.0,-41.0,50.0
-2.0,-42.0,49.0
-4.0,-42.0,49.0
-4.0,-42.0,48.0
-2.0,-44.0,47.0
-5.0,-44.0,47.0
-4.0,-44.0,44.0
-3.0,-45.0,45.0
-1.0,-44.0,46.0
0.0,-44.0,46.0
-3.0,-44.0,48.0
-4.0,-43.0,48.0
-1.0,-43.0,48.0
-1.0,-44.0,48.0
-2.0,-44.0,45.0
0.0,-44.0,46.0
-4.0,-44.0,46.0
-3.0,-44.0,46.0
-1.0,-43.0,48.0
-2.0,-43.0,48.0
-4.0,-43.0,47.0
-4.0,-42.0,48.0
-5.0,-43.0,48.0
-4.0,-42.0,47.0
-2.0,-43.0,47.0
-2.0,-43.0,46.0
-4.0,-42.0,49.0
-5.0,-41.0,50.0
-3.0,-42.0,50.0
-1.0,-43.0,49.0
-2.0,-43.0,47.0
-3.0,-44.0,47.0
-2.0,-43.0,46.0
-1.0,-45.0,45.0
-3.0,-45.0,45.0
-3.0,-45.0,46.0
-2.0,-44.0,46.0
0.0,-45.0,46.0
-2.0,-45.0,46.0
0.0,-44.0,49.0
0.0,-45.0,47.0
0.0,-45.0,44.0
-1.0,-45.0,45.0
-4.0,-44.0,45.0
-2.0,-43.0,46.0
-1.0,-42.0,47.0
-3.0,-41.0,50.0
-5.0,-38.0,55.0
-4.0,-40.0,53.0
-4.0,-42.0,48.0
-5.0,-42.0,47.0
-4.0,-42.0,47.0
-6.0,-41.0,49.0
-5.0,-40.0,49.0
-5.0,-40.0,51.0
-3.0,-41.0,50.0
-5.0,-40.0,50.0
-2.0,-42.0,48.0
-2.0,-43.0,47.0
-1.0,-43.0,46.0
-3.0,-44.0,49.0
-2.0,-44.0,46.0
-3.0,-45.0,45.0
-3.0,-45.0,46.0
-1.0,-45.0,45.0
-2.0,-45.0,46.0
-1.0,-45.0,47.0
0.0,-45.0,45.0
-1.0,-45.0,45.0
1.0,-44.0,46.0
-3.0,-45.0,47.0
-1.0,-44.0,46.0
-3.0,-44.0,47.0
-1.0,-44.0,47.0
-1.0,-44.0,47.0
-3.0,-44.0,48.0
-4.0,-44.0,47.0
-4.0,-44.0,47.0
-2.0,-44.0,46.0
-1.0,-43.0,46.0
0.0,-43.0,46.0
-2.0,-44.0,48.0
-5.0,-42.0,52.0
-5.0,-42.0,51.0
-2.0,-44.0,46.0
-2.0,-44.0,45.0
0.0,-46.0,43.0
0.0,-47.0,44.0
-2.0,-46.0,45.0
-2.0,-46.0,46.0
0.0,-45.0,45.0
1.0,-45.0,45.0
0.0,-45.0,45.0
-1.0,-45.0,46.0
0.0,-45.0,47.0
1.0,-45.0,45.0
-1.0,-47.0,44.0
1.0,-45.0,44.0
1.0,-46.0,45.0
-2.0,-46.0,45.0
-1.0,-44.0,46.0
-3.0,-44.0,48.0
-3.0,-44.0,48.0
-3.0,-44.0,47.0
-5.0,-44.0,47.0
-4.0,-45.0,46.0
-3.0,-44.0,45.0
-3.0,-44.0,45.0
-4.0,-43.0,47.0
-3.0,-43.0,48.0
-4.0,-43.0,49.0
-2.0,-43.0,47.0
-3.0,-44.0,48.0
-2.0,-43.0,47.0
-2.0,-44.0,46.0
-2.0,-45.0,46.0
-1.0,-44.0,46.0
-2.0,-45.0,46.0
-2.0,-45.0,46.0
0.0,-45.0,44.0
-1.0,-46.0,45.0
-3.0,-45.0,47.0
-3.0,-44.0,48.0
0.0,-45.0,45.0
0.0,-45.0,46.0
0.0,-45.0,44.0
-2.0,-44.0,47.0
0.0,-43.0,47.0
-1.0,-44.0,46.0
-2.0,-44.0,47.0
-5.0,-44.0,46.0
-7.0,-44.0,48.0
-3.0,-44.0,47.0
-4.0,-44.0,47.0
-2.0,-44.0,47.0
-4.0,-43.0,46.0
-4.0,-43.0,48.0
-4.0,-42.0,49.0
-3.0,-42.0,49.0
-3.0,-42.0,49.0
-3.0,-43.0,48.0
-1.0,-44.0,47.0
-2.0,-45.0,45.0
-1.0,-45.0,44.0
-1.0,-45.0,45.0
-2.0,-45.0,47.0
-1.0,-45.0,47.0
-1.0,-45.0,46.0
-1.0,-45.0,45.0
-1.0,-45.0,44.0
0.0,-44.0,46.0
1.0,-45.0,46.0
0.0,-45.0,45.0
-1.0,-44.0,47.0
0.0,-44.0,46.0
-1.0,-44.0,47.0
-1.0,-43.0,47.0
-6.0,-42.0,48.0
-7.0,-41.0,48.0
-6.0,-41.0,49.0
-4.0,-42.0,51.0
-2.0,-42.0,47.0
-3.0,-42.0,47.0
-7.0,-41.0,50.0
-2.0,-41.0,50.0
-6.0,-41.0,52.0
-5.0,-39.0,53.0
-2.0,-42.0,48.0
-4.0,-43.0,47.0
-2.0,-43.0,46.0
-3.0,-44.0,46.0
-4.0,-44.0,46.0
-3.0,-44.0,46.0
-3.0,-44.0,46.0
-1.0,-43.0,46.0
-3.0,-44.0,47.0
-4.0,-43.0,49.0
0.0,-42.0,50.0
1.0,-43.0,48.0
-2.0,-43.0,47.0
-3.0,-43.0,47.0
-1.0,-43.0,47.0
-3.0,-42.0,48.0
-4.0,-42.0,50.0
-3.0,-42.0,48.0
-6.0,-42.0,48.0
-8.0,-42.0,48.0
-7.0,-43.0,47.0
-7.0,-43.0,47.0
-4.0,-43.0,46.0
-4.0,-42.0,47.0
-5.0,-40.0,51.0
-6.0,-39.0,54.0
-6.0,-39.0,54.0
-4.0,-41.0,52.0
-2.0,-41.0,49.0
-2.0,-43.0,46.0
-3.0,-43.0,45.0
-8.0,-44.0,47.0
-4.0,-45.0,46.0
-2.0,-44.0,45.0
-2.0,-45.0,44.0
-6.0,-44.0,47.0
-6.0,-45.0,49.0
0.0,-44.0,46.0
-1.0,-43.0,47.0
-3.0,-43.0,51.0
-3.0,-43.0,48.0
-3.0,-43.0,47.0
-3.0,-42.0,48.0
-5.0,-42.0,50.0
-2.0,-41.0,49.0
-5.0,-42.0,50.0
-5.0,-41.0,48.0
-6.0,-42.0,48.0
-5.0,-43.0,47.0
-5.0,-43.0,47.0
-5.0,-43.0,47.0
-5.0,-42.0,48.0
-4.0,-42.0,48.0
-5.0,-42.0,51.0
-4.0,-41.0,51.0
-1.0,-42.0,49.0
-4.0,-43.0,47.0
-2.0,-44.0,45.0
-2.0,-45.0,46.0
-4.0,-44.0,48.0
-1.0,-44.0,47.0
0.0,-44.0,46.0
0.0,-44.0,46.0
0.0,-44.0,46.0
-2.0,-44.0,47.0
-2.0,-45.0,47.0
0.0,-43.0,47.0
0.0,-44.0,47.0
-1.0,-44.0,45.0
-2.0,-45.0,46.0
-1.0,-43.0,48.0
-1.0,-43.0,48.0
-2.0,-43.0,47.0
-2.0,-43.0,48.0
-4.0,-43.0,48.0
-4.0,-44.0,47.0
-4.0,-43.0,46.0
-4.0,-43.0,47.0
-4.0,-43.0,48.0
-3.0,-42.0,48.0
-4.0,-41.0,50.0
-4.0,-41.0,51.0
-4.0,-43.0,48.0
-4.0,-42.0,47.0
-2.0,-44.0,46.0
-2.0,-44.0,45.0
-3.0,-43.0,47.0
-3.0,-43.0,47.0
-5.0,-44.0,48.0
-1.0,-44.0,46.0
0.0,-45.0,44.0
-2.0,-45.0,45.0
-1.0,-45.0,46.0
-2.0,-45.0,46.0
-1.0,-44.0,47.0
0.0,-45.0,46.0
-1.0,-44.0,46.0
-1.0,-43.0,47.0
1.0,-44.0,47.0
-2.0,-43.0,47.0
-2.0,-43.0,47.0
-2.0,-43.0,48.0
-4.0,-44.0,47.0
-4.0,-44.0,47.0
-5.0,-44.0,46.0
-4.0,-44.0,46.0
-3.0,-44.0,46.0
-3.0,-43.0,47.0
-4.0,-43.0,48.0
-5.0,-42.0,50.0
-5.0,-42.0,49.0
0.0,-42.0,50.0
0.0,-44.0,49.0
-2.0,-45.0,43.0
-4.0,-44.0,45.0
-2.0,-45.0,47.0
-2.0,-45.0,47.0
-2.0,-44.0,46.0
-1.0,-44.0,46.0
0.0,-45.0,46.0
-1.0,-44.0,47.0
-1.0,-44.0,48.0
-1.0,-44.0,47.0
0.0,-44.0,47.0
1.0,-44.0,47.0
-2.0,-44.0,47.0
-3.0,-44.0,46.0
-1.0,-43.0,47.0
-2.0,-43.0,48.0
-3.0,-43.0,48.0
-5.0,-43.0,47.0
-4.0,-43.0,48.0
-4.0,-43.0,47.0
-5.0,-43.0,48.0
-3.0,-44.0,46.0
-4.0,-43.0,47.0
-5.0,-42.0,48.0
-5.0,-42.0,49.0
-2.0,-41.0,51.0
-3.0,-42.0,50.0
-2.0,-44.0,48.0
-2.0,-43.0,47.0
-2.0,-45.0,44.0
-2.0,-45.0,44.0
-4.0,-45.0,45.0
-3.0,-45.0,45.0
-2.0,-45.0,47.0
-2.0,-45.0,47.0
1.0,-46.0,44.0
0.0,-46.0,44.0
-2.0,-46.0,45.0
1.0,-45.0,45.0
0.0,-44.0,47.0
-1.0,-45.0,48.0
-1.0,-45.0,47.0
-1.0,-43.0,47.0
0.0,-44.0,47.0
-2.0,-43.0,46.0
-3.0,-43.0,48.0
-3.0,-43.0,48.0
-3.0,-44.0,47.0
-5.0,-43.0,48.0
-3.0,-43.0,47.0
-1.0,-44.0,45.0
-2.0,-44.0,46.0
-3.0,-42.0,49.0
-2.0,-43.0,48.0
0.0,-41.0,51.0
-1.0,-43.0,48.0
-3.0,-43.0,49.0
-2.0,-43.0,46.0
-1.0,-46.0,44.0
-1.0,-46.0,43.0
-2.0,-47.0,42.0
-2.0,-47.0,42.0
-4.0,-44.0,48.0
0.0,-44.0,50.0
1.0,-45.0,46.0
-1.0,-44.0,46.0
1.0,-44.0,46.0
0.0,-45.0,45.0
2.0,-44.0,47.0
-1.0,-45.0,47.0
-2.0,-45.0,46.0
-1.0,-43.0,46.0
-1.0,-44.0,47.0
-4.0,-43.0,48.0
-3.0,-43.0,48.0
-4.0,-44.0,48.0
-4.0,-44.0,47.0
-3.0,-44.0,45.0
-2.0,-45.0,43.0
-3.0,-43.0,45.0
-4.0,-44.0,47.0
-3.0,-42.0,50.0
-2.0,-42.0,50.0
-2.0,-43.0,47.0
-3.0,-44.0,47.0
-1.0,-44.0,46.0
0.0,-46.0,45.0
-4.0,-45.0,45.0
-5.0,-45.0,45.0
-2.0,-46.0,44.0
-1.0,-46.0,44.0
-2.0,-46.0,44.0
-3.0,-46.0,45.0
-1.0,-45.0,46.0
0.0,-45.0,47.0
-1.0,-46.0,45.0
-1.0,-44.0,45.0
-1.0,-46.0,45.0
-3.0,-45.0,45.0
-1.0,-44.0,46.0
-1.0,-44.0,47.0
-4.0,-44.0,48.0
-3.0,-43.0,47.0
-5.0,-43.0,48.0
-4.0,-44.0,48.0
-2.0,-44.0,45.0
-4.0,-44.0,45.0
-5.0,-44.0,46.0
-5.0,-43.0,48.0
-5.0,-43.0,49.0
-3.0,-41.0,50.0
-2.0,-41.0,51.0
-1.0,-43.0,48.0
-2.0,-43.0,48.0
-1.0,-45.0,46.0
-1.0,-46.0,46.0
-2.0,-45.0,44.0
-2.0,-46.0,45.0
-1.0,-45.0,46.0
0.0,-45.0,46.0
-3.0,-45.0,47.0
-2.0,-44.0,47.0
0.0,-44.0,47.0
1.0,-45.0,45.0
0.0,-43.0,45.0
-1.0,-44.0,47.0
-3.0,-43.0,48.0
-2.0,-43.0,48.0
-3.0,-43.0,47.0
-5.0,-42.0,49.0
-4.0,-44.0,48.0
-4.0,-43.0,47.0
-5.0,-44.0,46.0
-5.0,-44.0,46.0
-5.0,-42.0,46.0
-4.0,-42.0,47.0
-3.0,-41.0,51.0
-2.0,-41.0,50.0
-4.0,-41.0,51.0
-5.0,-42.0,50.0
-1.0,-43.0,48.0
-1.0,-44.0,48.0
-1.0,-45.0,44.0
-3.0,-45.0,44.0
-2.0,-45.0,46.0
0.0,-46.0,44.0
0.0,-46.0,44.0
-2.0,-45.0,45.0
-1.0,-45.0,45.0
-2.0,-46.0,46.0
0.0,-44.0,47.0
1.0,-45.0,46.0
-1.0,-45.0,46.0
2.0,-44.0,46.0
1.0,-44.0,46.0
-1.0,-44.0,47.0
-2.0,-43.0,48.0
-3.0,-43.0,48.0
-2.0,-43.0,48.0
-2.0,-43.0,47.0
-2.0,-43.0,47.0
-1.0,-44.0,47.0
-3.0,-43.0,45.0
-7.0,-43.0,50.0
-6.0,-43.0,49.0
-1.0,-43.0,48.0
-4.0,-43.0,47.0
-2.0,-44.0,47.0
0.0,-44.0,46.0
-1.0,-45.0,46.0
-2.0,-45.0,46.0
-1.0,-44.0,46.0
0.0,-45.0,46.0
0.0,-44.0,46.0
-1.0,-44.0,47.0
-4.0,-45.0,47.0
4.0,-44.0,45.0
2.0,-45.0,46.0
-1.0,-43.0,47.0
1.0,-44.0,46.0
-2.0,-44.0,45.0
-1.0,-43.0,47.0
0.0,-41.0,51.0
-1.0,-42.0,50.0
-2.0,-41.0,49.0
-3.0,-42.0,48.0
-4.0,-43.0,48.0
-5.0,-42.0,47.0
-3.0,-43.0,47.0
-3.0,-42.0,47.0
-4.0,-41.0,50.0
-3.0,-41.0,50.0
-1.0,-39.0,53.0
3.0,-39.0,50.0
1.0,-43.0,49.0
0.0,-43.0,48.0
1.0,-44.0,46.0
1.0,-44.0,46.0
1.0,-44.0,46.0
0.0,-46.0,45.0
1.0,-45.0,45.0
3.0,-44.0,45.0
0.0,-44.0,48.0
1.0,-43.0,48.0
2.0,-44.0,48.0
1.0,-44.0,47.0
4.0,-44.0,45.0
3.0,-44.0,46.0
-1.0,-44.0,46.0
0.0,-43.0,47.0
2.0,-43.0,48.0
-3.0,-42.0,50.0
-3.0,-43.0,50.0
-3.0,-44.0,46.0
-4.0,-44.0,46.0
-3.0,-44.0,46.0
-2.0,-45.0,45.0
-4.0,-44.0,47.0
-3.0,-44.0,48.0
-6.0,-41.0,46.0
-6.0,-41.0,51.0
-1.0,-42.0,51.0
0.0,-42.0,48.0
-1.0,-42.0,46.0
0.0,-42.0,47.0
-1.0,-43.0,49.0
-1.0,-43.0,48.0
0.0,-43.0,47.0
1.0,-43.0,47.0
1.0,-44.0,47.0
1.0,-44.0,47.0
0.0,-44.0,46.0
0.0,-44.0,48.0
1.0,-45.0,47.0
2.0,-46.0,48.0
2.0,-44.0,45.0
-2.0,-44.0,46.0
0.0,-43.0,45.0
0.0,-42.0,47.0
-3.0,-42.0,50.0
-3.0,-42.0,51.0
-3.0,-42.0,47.0
-4.0,-43.0,46.0
-5.0,-43.0,46.0
-2.0,-41.0,48.0
-4.0,-40.0,48.0
-3.0,-40.0,50.0
-4.0,-41.0,49.0
-5.0,-40.0,50.0
-4.0,-42.0,49.0
-2.0,-43.0,48.0
-2.0,-43.0,48.0
-3.0,-45.0,45.0
-3.0,-45.0,46.0
-2.0,-44.0,48.0
-1.0,-45.0,47.0
0.0,-44.0,46.0
-1.0,-44.0,46.0
-2.0,-44.0,46.0
0.0,-44.0,47.0
-2.0,-44.0,47.0
-1.0,-44.0,47.0
1.0,-43.0,47.0
-1.0,-43.0,46.0
-3.0,-43.0,48.0
-1.0,-42.0,49.0
0.0,-42.0,47.0
-3.0,-43.0,48.0
-4.0,-42.0,50.0
-4.0,-42.0,50.0
-5.0,-42.0,46.0
-6.0,-43.0,46.0
-5.0,-41.0,47.0
-5.0,-41.0,47.0
-7.0,-40.0,53.0
-3.0,-41.0,49.0
-7.0,-42.0,50.0
-6.0,-41.0,48.0
-3.0,-42.0,47.0
-3.0,-44.0,46.0
-4.0,-44.0,46.0
-7.0,-43.0,46.0
-5.0,-43.0,47.0
-2.0,-44.0,48.0
-2.0,-44.0,47.0
0.0,-44.0,46.0
-3.0,-44.0,47.0
-1.0,-44.0,46.0
-2.0,-44.0,47.0
-1.0,-44.0,47.0
0.0,-44.0,46.0
-1.0,-45.0,46.0
-4.0,-43.0,47.0
-2.0,-43.0,48.0
-3.0,-43.0,48.0
-2.0,-43.0,49.0
-3.0,-43.0,49.0
-2.0,-43.0,46.0
-3.0,-43.0,47.0
-2.0,-43.0,47.0
-3.0,-43.0,45.0
-5.0,-43.0,47.0
-5.0,-42.0,46.0
-5.0,-43.0,53.0
-3.0,-41.0,51.0
-4.0,-42.0,48.0
-3.0,-43.0,48.0
-4.0,-43.0,46.0
-2.0,-44.0,45.0
-2.0,-44.0,48.0
